Date,Open,High,Low,Close,Adj Close,Volume
2021-11-11,17.6,18.790001,17.49,18.09,18.09,9803600
2021-11-10,17.469999,17.77,17.030001,17.34,17.34,5536800
2021-11-09,18.25,18.35,17.5,17.57,17.57,7271800
2021-11-08,18.15,18.620001,17.91,18.190001,18.190001,5449200
2021-11-05,17.41,18.5,17.41,18.299999,18.299999,7554300
2021-11-04,17.34,17.6,16.719999,16.92,16.92,6391800
2021-11-03,16.23,17.6,16.1,17.549999,17.549999,8423900
2021-11-01,15.53,16.530001,15.53,16.450001,16.450001,6034300
2021-10-29,15.9,15.94,15.18,15.18,15.18,4806400
2021-10-28,15.89,16.35,15.67,15.74,15.74,5074400
2021-10-27,16.33,16.65,15.89,15.89,15.89,6876700
2021-10-26,16.950001,17.18,16.16,16.18,16.18,5565700
2021-10-25,17.25,17.780001,17.16,17.200001,17.200001,7277500
2021-10-22,17.469999,17.76,16.26,17.08,17.08,15169200
2021-10-21,17.65,18.35,17.43,17.82,17.82,6788700
2021-10-20,19.040001,19.209999,18.1,18.190001,18.190001,6500000
2021-10-19,19.99,20.049999,18.73,18.799999,18.799999,9470400
2021-10-18,20.35,20.49,19.91,20.299999,20.299999,5079300
2021-10-15,20.26,20.82,20.02,20.6,20.6,3445200
2021-10-14,20.18,20.549999,19.950001,20.059999,20.059999,3460800
2021-10-13,20.030001,20.32,19.870001,20.01,20.01,4429800
2021-10-11,20.15,20.26,19.6,20.01,20.01,5326300
2021-10-08,20.17,20.77,20.030001,20.08,20.08,4996100
2021-10-07,20.450001,20.690001,19.92,19.969999,19.969999,4586500
2021-10-06,19.299999,20.41,19.219999,20.35,20.35,7748400
2021-10-05,21.01,21.08,20.049999,20.17,20.17,3852400
2021-10-04,21.58,21.690001,20.709999,20.83,20.83,4505800
2021-10-01,20.77,21.879999,20.709999,21.83,21.83,5755800
2021-09-30,21.049999,21.139999,20.370001,20.709999,20.709999,3657000
2021-09-29,21.030001,21.4,20.67,20.9,20.9,3186600
2021-09-28,21.24,21.530001,20.719999,20.879999,20.879999,4506800
2021-09-27,21.77,22.219999,21.299999,21.530001,21.530001,5452200
2021-09-24,21.25,21.889999,21.1,21.889999,21.889999,4600400
2021-09-23,20.799999,21.700001,20.799999,21.51,21.51,6766300
2021-09-22,19.799999,21.139999,19.57,20.73,20.73,9682500
2021-09-21,19.18,19.75,19.1,19.6,19.6,5651700
2021-09-20,18.379999,18.969999,18.299999,18.870001,18.870001,7237000
2021-09-17,19.84,20.16,19.1,19.129999,19.129999,6409600
2021-09-16,19.6,20.26,19.42,19.950001,19.950001,4866400
2021-09-15,20.65,20.65,19.68,19.780001,19.780001,10199800
2021-09-14,19.49,19.690001,19.059999,19.280001,19.280001,3613400
2021-09-13,19.52,19.860001,19.059999,19.51,19.51,5413100
2021-09-10,20.200001,20.48,18.879999,19.040001,19.040001,6669700
2021-09-09,18.99,19.950001,18.940001,19.709999,19.709999,7105200
2021-09-08,19.370001,19.99,18.879999,18.940001,18.940001,8475500
2021-09-06,18.879999,19.48,18.719999,19.48,19.48,2195500
2021-09-03,19.700001,19.74,18.950001,19.030001,19.030001,4812200
2021-09-02,19.709999,20.110001,19.360001,19.469999,19.469999,7488400
2021-09-01,19.99,20.049999,19.690001,19.690001,19.690001,3746400
2021-08-31,19.959999,20.129999,19.620001,19.959999,19.959999,6390200
2021-08-30,20.709999,20.74,20.0,20.129999,20.129999,4484600
2021-08-27,20.299999,21.0,20.200001,20.780001,20.780001,5741500
2021-08-26,20.48,20.870001,20.08,20.17,20.17,4572300
2021-08-25,20.309999,20.709999,20.110001,20.620001,20.620001,6487500
2021-08-24,18.75,20.540001,18.75,20.540001,20.540001,14532500
2021-08-23,18.5,18.719999,18.09,18.51,18.51,6274400
2021-08-20,17.25,18.200001,17.110001,18.200001,18.200001,7581100
2021-08-19,16.700001,17.75,16.6,17.67,17.67,6803600
2021-08-18,17.110001,17.629999,16.76,17.23,17.23,6773600
2021-08-17,17.33,17.33,16.92,17.049999,17.049999,6101400
2021-08-16,18.219999,18.219999,17.35,17.450001,17.450001,6336900
2021-08-13,18.860001,19.030001,18.360001,18.389999,18.389999,4430200
2021-08-12,19.49,19.559999,18.76,18.76,18.76,6369500
2021-08-11,19.610001,19.780001,19.42,19.540001,19.540001,5218500
2021-08-10,19.969999,20.219999,19.610001,19.68,19.68,7406500
2021-08-09,19.85,20.17,19.65,19.940001,19.940001,5414500
2021-08-06,20.030001,20.35,19.82,20.1,20.1,3630800
2021-08-05,20.01,20.42,19.969999,20.02,20.02,5605600
2021-08-04,20.42,20.700001,19.889999,19.959999,19.959999,6820100
2021-08-03,20.190001,20.32,19.5,20.219999,20.219999,5517400
2021-08-02,20.940001,21.030001,20.280001,20.34,20.34,5723700
2021-07-30,21.200001,21.24,20.6,20.6,20.6,5052400
2021-07-29,22.049999,22.360001,21.309999,21.4,21.4,5818400
2021-07-28,21.43,21.91,21.33,21.9,21.9,5542800
2021-07-27,21.75,21.780001,21.120001,21.299999,21.299999,5317600
2021-07-26,21.219999,21.91,21.1,21.870001,21.870001,4583700
2021-07-23,21.43,21.85,21.18,21.219999,21.219999,4366600
2021-07-22,21.66,21.76,21.309999,21.440001,21.440001,3634000
2021-07-21,21.6,21.809999,21.24,21.66,21.66,4527800
2021-07-20,20.92,21.68,20.610001,21.530001,21.530001,5971700
2021-07-19,21.0,21.129999,20.469999,20.799999,20.799999,8165000
2021-07-16,22.23,22.4,21.459999,21.58,21.58,6264700
2021-07-15,22.43,22.549999,22.040001,22.129999,22.129999,4879900
2021-07-14,22.4,23.02,22.4,22.59,22.59,5844200
2021-07-13,22.200001,22.360001,21.98,22.25,22.25,4251700
2021-07-12,22.200001,22.49,21.969999,22.309999,22.309999,7687200
2021-07-08,22.01,22.34,21.9,22.02,22.02,7880300
2021-07-07,22.889999,22.92,22.200001,22.76,22.76,6720700
2021-07-06,23.4,23.41,22.51,22.629999,22.629999,8472300
2021-07-05,23.440001,23.540001,23.16,23.389999,23.389999,2703100
2021-07-02,22.99,23.719999,22.950001,23.450001,23.450001,6668500
2021-07-01,23.24,23.27,22.48,22.75,22.75,5985000
2021-06-30,23.1,23.299999,22.84,22.959999,22.959999,6563600
2021-06-29,23.549999,23.700001,23.0,23.27,23.27,5686400
2021-06-28,23.780001,24.110001,23.51,23.66,23.66,5745800
2021-06-25,24.9,24.93,23.82,24.0,24.0,6074800
2021-06-24,25.18,25.299999,24.690001,24.780001,24.780001,4085800
2021-06-23,24.84,25.26,24.52,24.98,24.98,6075000
2021-06-22,25.459999,25.459999,24.65,24.82,24.82,5125000
2021-06-21,25.049999,25.459999,24.780001,25.450001,25.450001,6377200
2021-06-18,24.5,24.9,24.290001,24.9,24.9,4675700
2021-06-17,24.99,25.110001,24.450001,24.6,24.6,6492500
2021-06-16,25.200001,25.700001,24.809999,25.110001,25.110001,8989200
2021-06-15,25.74,25.91,25.08,25.23,25.23,6588600
2021-06-14,26.07,26.15,25.66,25.700001,25.700001,5401200
2021-06-11,26.33,26.5,25.610001,25.790001,25.790001,7126600
2021-06-10,27.639999,27.68,26.07,26.25,26.25,12002900
2021-06-09,27.98,28.75,27.120001,27.450001,27.450001,12587100
